par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,borda_binaria,borda_tradicional
EURUSD,M5,doji,baixa,londres,a_favor,3025,0.503801652892562,0.48599079364882014,0.5216028689157945,0.53475935828877,0.9996963226828803,0.03831041257367387,-0.01279469548133591,0.09037328094302555,0.06906144898179957,False,False,-0.030957705396208013,False,False
EURUSD,M5,pinca,alta,pos_ny,contra,518,0.5656370656370656,0.5226232264639773,0.6076845496825801,0.53475935828877,0.08597404967005548,0.036053130929791274,-0.08349146110056926,0.16129032258064516,0.28119306518364867,False,False,0.030877707348295647,False,False
EURUSD,M5,pinca,alta,londres,a_favor,1557,0.51252408477842,0.4876960550850432,0.5372904672677566,0.53475935828877,0.9627346653900256,0.033693579148124604,-0.036919898283534563,0.10430705657978359,0.17444440859356553,False,False,-0.02223527351034993,False,False
EURUSD,M5,piercing_nuvem,alta,londres_ny,contra,256,0.5625,0.5012513172897817,0.6219007006569843,0.53475935828877,0.2042160625160044,0.032934414993532134,-0.13806262752270787,0.2073530196446949,0.3549275855936873,False,False,0.02774064171123003,False,False
EURUSD,M5,marubozu,baixa,londres,a_favor,1856,0.46120689655172414,0.4386316217011578,0.48394242388909975,0.53475935828877,0.9999999999030615,0.023529411764705882,-0.0374331550802139,0.0877005347593583,0.2372910235269799,False,False,-0.07355246173704583,False,False
EURUSD,M5,harami,baixa,londres,contra,2085,0.5045563549160671,0.4831068610984365,0.5259890901140248,0.53475935828877,0.9973170712022513,0.02237029985721085,-0.0376011423131842,0.0823417420276059,0.23551041320740143,False,False,-0.030203003372702875,False,False
EURUSD,M5,inside_bar,baixa,londres,a_favor,6982,0.4994270982526497,0.487702532173384,0.5111522944001708,0.53475935828877,0.9999999984276996,0.019566142067205444,-0.013621863037005511,0.05359421522756274,0.12379721078284994,False,False,-0.03533226003612028,False,False
EURUSD,M5,harami,baixa,ny,a_favor,1289,0.5128006206361521,0.4855165380325037,0.540008633499435,0.53475935828877,0.9460428490160663,0.018387369151338793,-0.05521172801410251,0.09560642245144305,0.3196615131517439,False,False,-0.02195873765261791,False,False
EURUSD,M5,harami,baixa,londres,a_favor,1795,0.4796657381615599,0.4566224030010929,0.5027959216978173,0.53475935828877,0.9999986759811468,0.01765030336458908,-0.04522890237175951,0.08222559293987843,0.29844095846219393,False,False,-0.055093620127210086,False,False
EURUSD,M5,doji,baixa,londres_ny,a_favor,2481,0.5054413542926239,0.48577477276049996,0.5250911116218437,0.53475935828877,0.9983853791807581,0.017589320803489693,-0.03506993742145382,0.07320481278250934,0.26758895684048156,False,False,-0.029318003996146036,False,False
EURUSD,M5,pinca,baixa,ny,a_favor,1354,0.5,0.4734053938569014,0.5265946061430986,0.53475935828877,0.995184721887149,0.01563320714281059,-0.061852335408815524,0.09158462054907981,0.34106932829056047,False,False,-0.03475935828876997,False,False
EURUSD,M5,rsi_extremo,baixa,ny,contra,1017,0.5152409046214356,0.4845259739398038,0.5458411312871059,0.53475935828877,0.8995446433215931,0.01555419446889648,-0.07411086487960158,0.09535188918959162,0.36225517543488456,False,False,-0.0195184536673344,False,False
EURUSD,M5,pinca,baixa,asia,contra,2066,0.5256534365924492,0.5040939517975457,0.5471176999684763,0.53475935828877,0.8028875303347573,0.015165876777251185,-0.04739336492890995,0.07488151658767772,0.3118611737036747,False,False,-0.00910592169632074,False,False
EURUSD,M5,piercing_nuvem,baixa,londres_ny,a_favor,248,0.5040322580645161,0.44222023841827296,0.5657212657699788,0.53475935828877,0.8493637063057969,0.012643829594208617,-0.161520647670888,0.186965973195348,0.44399568445206355,False,False,-0.030727100224253845,False,False
